iter	Logloss
0	0.6361333098
1	0.5941684812
2	0.5490019752
3	0.5061975173
4	0.4696744329
5	0.438240484
6	0.4078272633
7	0.3670766334
8	0.3428651372
9	0.3235640811
10	0.2985785233
11	0.2786907923
12	0.2609932159
13	0.2466171248
14	0.2325469121
15	0.2175751973
16	0.2059760478
17	0.1961196513
18	0.1858122522
19	0.1796056152
20	0.1718596745
21	0.1638119023
22	0.1569160089
23	0.1499165104
24	0.1442091035
25	0.1374673402
26	0.1326091618
27	0.1284724791
28	0.1232017581
29	0.1189686064
30	0.114969724
31	0.1113952543
32	0.1070243647
33	0.1034275421
34	0.100009497
35	0.09727927928
36	0.09442404079
37	0.09180083503
38	0.08839286367
39	0.08534906586
40	0.08184662988
41	0.07995446225
42	0.07768210694
43	0.07522934616
44	0.07347275808
45	0.07149802001
46	0.06888964221
47	0.066593457
48	0.06505609458
49	0.06214178629
50	0.06077672632
51	0.05887066709
52	0.05655760601
53	0.0548823192
54	0.05345572231
55	0.05139828615
56	0.05001274751
57	0.0485691595
58	0.04707274893
59	0.0461309451
60	0.04504443449
61	0.04315147758
62	0.04207538797
63	0.04128251294
64	0.03976104299
65	0.03908383204
66	0.0383384629
67	0.03744553324
68	0.03680245195
69	0.03583071845
70	0.03503600435
71	0.03391624036
72	0.03330366428
73	0.03259563465
74	0.03201521384
75	0.03127222856
76	0.03084360067
77	0.0302418305
78	0.02965761198
79	0.02902044777
